location_code,PSC_Code,FisheryID,FisheryName,Gear
5M2223204O      10,5M22232,20,Coos B Trl,1
2MS27H021HLIN WL,2MS27,190,WC VI  Spt,4
1M1NW183 10,1M1NW,196,NW AK  Trl,1
1M1NW183 10,1M1,198,SE AK Net,2
1M1NW183 10,1M1,198,SE AK Net,3
1M1NW183 10,1M1,198,SE AK Net,6
1M1NW183 10,1M1,199,SE AK Sport,4
3M10609  888071 H,3M10609,156,Ar9-9A Net,2
3M10609  888071 H,3M10609,156,Ar9-9A Net,6
1M1NW113 4199995,1M1NW,196,NW AK  Trl,1
1M1NW113 4199995,1M1,198,SE AK Net,2
1M1NW113 4199995,1M1,198,SE AK Net,3
1M1NW113 4199995,1M1,198,SE AK Net,6
1M1NW113 4199995,1M1,199,SE AK Sport,4
1M1NW114 27NI,1M1NW,196,NW AK  Trl,1
1M1NW114 27NI,1M1,198,SE AK Net,2
1M1NW114 27NI,1M1,198,SE AK Net,3
1M1NW114 27NI,1M1,198,SE AK Net,6
1M1NW114 27NI,1M1,199,SE AK Sport,4
6MOSFTIB NTPN,6MOSF,7,So Cal Spt,4
6MOSFTIB NTPN,6MOSF,8,So Cal Trl,1
2MN09H005       025,2MN09,178,No BC  Net,2
2MN26H008BE CH N 11,2MN26H008,188,Cen BC Spt,4
2MN09H001       628,2MN09,178,No BC  Net,2
3M10609  888110 H,3M10609,156,Ar9-9A Net,2
3M10609  888110 H,3M10609,156,Ar9-9A Net,6
